"","commareano","asstidx"
"1",56,52221812
"2",6,97829
"3",39,3533624
"4",4,3879470
"5",41,6269775
"6",42,11096463
"7",1,534777
"8",11,1587314
"9",12,NA
"10",13,3854028
"11",14,6238428
"12",15,NA
"13",16,4287541
"14",17,4443276
"15",2,850604
"16",21,18143315
"17",22,16826877
"18",23,50747179
"19",24,NA
"20",25,61382521
"21",28,NA
"22",29,29448478
"23",3,58950
"24",33,376623
"25",10,3482276
"26",8,NA
"27",32,NA
"28",43,37694243
"29",44,48445930
"30",46,24077032
"31",47,26597780
"32",49,73302568
"33",5,1641237
"34",51,19195105
"35",52,18311901
"36",53,39077320
"37",54,25432656
"38",55,19195105
"39",61,7495614
"40",64,34876182
"41",65,36102634
"42",68,44561374
"43",69,61040658
"44",7,1629299
"45",70,57950784
"46",71,21848150
"47",72,37788160
"48",74,2295346
"49",75,40796648
"50",76,NA
"51",77,69348
"52",9,NA
"53",35,10467268
"54",36,2595181
"55",37,7495614
"56",38,11029238
"57",40,21028785
"58",18,4443276
"59",19,19614836
"60",20,16599907
"61",26,10036462
"62",27,13046633
"63",30,33742941
"64",31,3790539
"65",34,7872087
"66",45,44909681
"67",48,44909681
"68",50,52337622
"69",57,17341096
"70",58,24836710
"71",59,28250776
"72",60,11286153
"73",62,45929686
"74",63,68875128
"75",66,44038418
"76",67,15449828
"77",73,60349452
