"","ecodatmds.COMMAREANO","rowSums.ecovd."
"0",56,0.0824834250028665
"1",6,-3.90369320209255
"2",39,-1.53297264242002
"3",4,-4.06945135157476
"4",41,-4.31759624715007
"5",42,1.30364875932951
"6",1,-1.79596241143258
"7",11,-2.73487069729769
"8",12,-3.9012588868726
"9",13,-4.56471563488645
"10",14,-1.84014349318708
"11",15,-0.800919086956888
"12",16,-1.96800146043904
"13",17,-1.17513993292417
"14",2,-5.23623907898931
"15",21,-0.330066205153056
"16",22,-0.676401986408305
"17",23,3.25878600575529
"18",24,-2.26352390342833
"19",25,2.64574502225363
"20",28,-2.91126697419688
"21",29,3.45918601321775
"22",3,-3.60815913827867
"23",33,-5.75758045603997
"24",10,-2.27375900391964
"25",8,-4.22843377448162
"26",32,-5.23130484381272
"27",43,1.19197236582839
"28",44,1.81402938587306
"29",46,2.70003502684329
"30",47,2.8916510840813
"31",49,1.72556234656195
"32",5,-3.6224626725046
"33",51,1.99166717072392
"34",52,2.86845077603558
"35",53,2.29947584078958
"36",54,5.8456874271114
"37",55,1.46270607488054
"38",61,3.34684425956081
"39",64,0.320454053841085
"40",65,2.31405997977585
"41",68,3.81289689358994
"42",69,2.08632900157319
"43",7,-3.17246909408797
"44",70,0.526418833397213
"45",71,2.50270691340049
"46",72,-1.91572846986937
"47",74,-1.87536128304935
"48",75,-0.421862906820455
"49",76,-4.92027205498464
"50",77,-4.20446762699741
"51",9,-1.91989599744641
"52",35,-0.881861863040185
"53",36,3.25551552635068
"54",37,4.62865507884731
"55",38,1.28230356822718
"56",40,2.7935764297454
"57",18,0.362470592578647
"58",19,2.04213199545481
"59",20,2.77834442226132
"60",26,4.14620750721441
"61",27,3.20757662967063
"62",30,4.73386505112382
"63",31,3.0037154042737
"64",34,-10.1383419630394
"65",45,1.11462488005703
"66",48,0.656192541345191
"67",50,2.03641905770339
"68",57,1.95362324487144
"69",58,2.78050162865283
"70",59,-1.2190373335418
"71",60,-5.50065253833558
"72",62,2.70343461780755
"73",63,4.29213535430941
"74",66,2.87408903424137
"75",67,3.33838715385306
"76",73,0.479307837643794
