"","commareano","fin"
"0",56,0.226019345507503
"1",6,-0.629738902325926
"2",39,-0.703871022196675
"3",4,-0.822426547400405
"4",41,-1.00516747910661
"5",42,-0.216752013979323
"6",1,-0.518413278671316
"7",11,-0.498677100332412
"8",12,-0.560587750364125
"9",13,-0.790047884424609
"10",14,-0.135037784778174
"11",15,-0.0200139519199494
"12",16,-0.304978384995122
"13",17,0.0670253819254418
"14",2,-0.541836296432864
"15",21,-0.104324238705056
"16",22,-0.0747376517243331
"17",23,0.598221197993204
"18",24,-0.336409609606349
"19",25,2.81568057754359
"20",28,-0.693410594686068
"21",29,0.295195519220378
"22",3,-0.802004481345189
"23",33,-1.25373816712585
"24",10,0.244410854089317
"25",8,-0.888669403714824
"26",32,-1.05969614624074
"27",43,0.315472399991384
"28",44,1.38118520689954
"29",46,0.60887380041746
"30",47,0.0813805811482887
"31",49,1.31211918781778
"32",5,-0.743180747629443
"33",51,0.118473570142026
"34",52,0.0630145608994901
"35",53,0.619959756680247
"36",54,0.139154476214582
"37",55,-0.220252697762574
"38",61,0.351393330191716
"39",64,0.36563750201717
"40",65,0.786604668536982
"41",68,0.231102634937553
"42",69,0.640118160523931
"43",7,-0.729294715162098
"44",70,0.901434002237789
"45",71,1.30261659114833
"46",72,-0.157330896463101
"47",74,-0.351913438126219
"48",75,0.0421494005863923
"49",76,-1.03566754250118
"50",77,-0.83509693738855
"51",9,-0.495205869291086
"52",35,-0.705036171309914
"53",36,-0.147575931129465
"54",37,0.0371079072289742
"55",38,-0.308923205116157
"56",40,-0.157094848153317
"57",18,-0.341416169625692
"58",19,0.462856557973447
"59",20,0.0988279497875033
"60",26,0.353932507954377
"61",27,0.140168787176454
"62",30,0.567312444857255
"63",31,0.146052165225541
"64",34,-1.78850886062663
"65",45,0.313739916365947
"66",48,0.998652399991148
"67",50,0.0523644494371076
"68",57,-0.044778890880507
"69",58,0.214882193357771
"70",59,-0.560894015890832
"71",60,-1.02642633204519
"72",62,0.174762093938289
"73",63,0.605731427305528
"74",66,2.20836401185962
"75",67,0.764574733561294
"76",73,0.962563706487523
