"","commareano","floods","bsmt","streetFlds"
"1",56,0.30191768063052,0.472110212101042,0.0262037810529755
"2",6,0.461603963917641,-0.314117715280588,1.41110106875473
"3",39,-1.03580513111685,-0.906356168562251,-1.03399021672961
"4",4,-0.279396420809438,-0.575432948038778,0.159105592740821
"5",41,-0.929347608925439,-0.894945023026959,-0.819535020596949
"6",42,-0.530131900707636,-0.58684409357407,-0.366460662570204
"7",1,-0.356438048711119,-0.559457344289369,-0.028165141910234
"8",11,-0.0804889451360067,-0.250215300282952,0.157595344880732
"9",12,0.291412004098472,-0.139527188590618,0.813042916159423
"10",13,-0.294104367954304,-0.415676910544688,-0.0840443127335325
"11",14,0.292112382533942,0.0886957221152254,0.512503592001682
"12",15,0.70813717320302,0.133199189702865,1.35069115435116
"13",16,0.278104813824545,-0.133821615822972,0.776796967517283
"14",17,0.86992459179655,0.399078880675172,1.34767065863098
"15",2,0.837006805329468,0.145751449791686,1.61196403414658
"16",21,-0.31301458571199,-0.268473133139419,-0.31964297890744
"17",22,0.472810018885158,-0.0767658881465108,1.12113347961761
"18",23,0.335535845533071,0.289531883536367,0.340335335951519
"19",24,0.530241050593684,-0.142950532251205,1.33256818003009
"20",25,4.72340674375155,4.54703028275387,4.16730341341743
"21",28,-0.378149780210684,-0.662157654106999,0.0609394818350259
"22",29,-0.263988095229102,-0.225110780105309,-0.271315047384587
"23",3,-0.331224425034205,-0.736330100086398,0.260292199366794
"24",33,-1.16817665542065,-0.945154063382244,-1.26807863504343
"25",10,1.25793424504684,1.01528073958095,1.36881412867223
"26",8,-0.855107494765637,-0.815067004279913,-0.76516609763374
"27",32,-1.08203010785786,-0.893803908473429,-1.15027930195647
"28",43,0.778175016750003,0.368268787729883,1.19060488118171
"29",44,1.81963775029364,2.12216185650429,1.11509248817725
"30",46,0.391566120370658,0.50406141959986,0.177228567061891
"31",47,-0.863512035991275,-0.453333690811152,-1.26203764360307
"32",49,2.13270691094865,2.08108173257724,1.84454220460031
"33",5,-0.186246088891951,-0.471591523667619,0.222536002864565
"34",51,-0.10570256881292,-0.184030656178257,0.0156320460323514
"35",52,-0.633087530721701,-0.569727375271132,-0.611120815904646
"36",53,0.880430268328598,0.716308726556294,0.950475471427536
"37",54,-1.18428535943646,-0.931460688739893,-1.32093731014655
"38",55,-0.84180030449171,-0.704378892587579,-0.882965430720693
"39",61,-0.100799919764632,-0.142950532251205,-0.028165141910234
"40",64,0.133126477682291,0.654688540665716,-0.579405610842774
"41",65,0.244486648921994,0.887475909585676,-0.647366764546786
"42",68,-0.212860469439804,-0.374596786617636,0.0367755160735995
"43",69,0.926655245069607,0.759671079590404,0.992762411510032
"44",7,0.105811718698968,-0.611948613751713,1.03806984731271
"45",70,1.28244749028828,1.57442687081026,0.681651352331667
"46",71,1.63683897863601,1.82547207258669,1.11358224031716
"47",72,0.171647291633132,0.231335041306377,0.0639599775552043
"48",74,-0.161032465215037,-0.125833813948267,-0.180700175779238
"49",75,0.276704056953606,0.229052812199319,0.293517652288755
"50",76,-1.03300361737497,-0.855006013653436,-1.09591037899326
"51",77,-0.446786866886727,-0.599396353662892,-0.170128440758614
"52",9,-0.422273621645283,-0.403124650455867,-0.377032397590828
"53",35,-1.07782783724504,-0.93602514695401,-1.08533864397264
"54",36,-1.20529671250055,-0.970258583559887,-1.31489631870619
"55",37,-1.1576709788886,-0.924614001418718,-1.27260937862369
"56",38,-0.805380625847279,-0.781974682227566,-0.701735687509995
"57",40,-0.988179397504904,-0.86413493008167,-0.987172533066845
"58",18,-0.785770029654124,-0.752305703835807,-0.698715191789817
"59",19,0.713740200686779,0.292955227196955,1.15133843681939
"60",20,-0.727638619510128,-0.524082793129963,-0.875414191420248
"61",26,-0.567952336223007,-0.283307622335299,-0.849739977798732
"62",27,-0.684215156510999,-0.490990471077616,-0.825576012037306
"63",30,0.010560251475071,-0.203429603588254,0.292007404428666
"64",31,-0.582660283367874,-0.599396353662892,-0.463116525615909
"65",34,-1.18848763004928,-0.944012948828715,-1.3133860708461
"66",45,0.0168636573942995,0.391091078800468,-0.481239499936979
"67",48,0.897939729215344,1.72391287732259,-0.345317192528956
"68",50,-0.653398505350326,-0.249074185729422,-1.07929765253228
"69",57,-0.876819226265202,-0.583420749913483,-1.1185640968946
"70",58,-0.502817141724313,-0.363185641082344,-0.6035695766042
"71",59,-0.967868422876279,-0.770563536692274,-1.06721566965157
"72",60,-0.751451486316102,-0.621077530179947,-0.798391550555701
"73",62,-0.670207587801602,-0.357480068314698,-0.972070054465953
"74",63,-0.250680904955175,0.0145232761358264,-0.559772388661615
"75",66,2.519315807328,3.3374488560129,1.01541612941137
"76",67,0.739654202799162,0.647841853344541,0.737530523154966
"77",73,1.49466215623564,1.73646513741141,0.92480125780602
